,dt_obj,Generation,year,hour,AirTemperature,ComfortTemperature,RelativeHumidity,week,WWCode,sun_alt_angle,sun_az_angle,sun_distance,EffectiveCloudCover,solar_irradiance,EffectiveCloudCover_r3mean,RelativeHumidity_r3mean,AirTemperature_r3mean,hour_sin1,hour_cos1,EffectiveCloudCover1,RelativeHumidity1,ComfortTemperature1,AirTemperature1,WWCode1,EffectiveCloudCover2,RelativeHumidity2,ComfortTemperature2,AirTemperature2,WWCode2,EffectiveCloudCover3,RelativeHumidity3,ComfortTemperature3,AirTemperature3,WWCode3,EffectiveCloudCover4,RelativeHumidity4,ComfortTemperature4,AirTemperature4,WWCode4,EffectiveCloudCover5,RelativeHumidity5,ComfortTemperature5,AirTemperature5,WWCode5,EffectiveCloudCover6,RelativeHumidity6,ComfortTemperature6,AirTemperature6,WWCode6,EffectiveCloudCover7,RelativeHumidity7,ComfortTemperature7,AirTemperature7,WWCode7,WindDirection_sin1,WindDirection_cos1,WindSpeed_sin_component,WindSpeed_cos_component
0,2022-05-04 06:00:00,7.336567523920337,2022,6,11.48,11.09,92.0,18,1.0,2.077712129957888,70.59970546535774,1.008214413194538,6.0,0.9823657055767278,7.333333333333333,89.0,11.866666666666667,0.9976687691905392,-0.06824241336467088,6.0,90.0,11.3,11.72,1.0,8.0,91.0,10.78,11.23,2.0,8.0,90.0,11.36,11.78,2.0,8.0,91.0,11.39,11.78,2.0,8.0,87.0,11.9,12.34,2.0,6.0,75.0,13.45,14.03,1.0,8.0,70.0,13.9,14.56,2.0,-0.9848077530122081,0.17364817766692997,-1.0143519856025744,0.1788576229969379
1,2022-05-04 07:00:00,38.28928133757929,2022,7,11.72,11.3,90.0,18,1.0,12.969031705627003,79.87177393625763,1.0082164054832943,6.0,0.9823657055767278,6.666666666666667,90.0,11.660000000000002,0.9422609221188205,-0.33487961217098616,8.0,91.0,10.78,11.23,2.0,8.0,90.0,11.36,11.78,2.0,8.0,91.0,11.39,11.78,2.0,8.0,87.0,11.9,12.34,2.0,6.0,75.0,13.45,14.03,1.0,8.0,70.0,13.9,14.56,2.0,8.0,77.0,12.86,13.45,58.0,-0.9848077530122081,0.17364817766692997,-2.028703971205149,0.3577152459938758
2,2022-05-04 08:00:00,89.29734411996655,2022,8,11.23,10.78,91.0,18,2.0,24.381065794958303,89.14992408324089,1.0082185289328385,8.0,0.9823657055767278,6.666666666666667,91.0,11.476666666666667,0.8169698930104421,-0.5766803221148671,8.0,90.0,11.36,11.78,2.0,8.0,91.0,11.39,11.78,2.0,8.0,87.0,11.9,12.34,2.0,6.0,75.0,13.45,14.03,1.0,8.0,70.0,13.9,14.56,2.0,8.0,77.0,12.86,13.45,58.0,8.0,77.0,12.25,12.89,58.0,-0.7193398003386517,0.6946583704589966,-0.3237029101523933,0.3125962667065485
3,2022-05-04 09:00:00,133.78648327924427,2022,9,11.78,11.36,90.0,18,2.0,35.83479044007731,99.29011214306944,1.0082213330814653,8.0,0.9823657055767278,7.333333333333333,90.33333333333333,11.576666666666668,0.631087944326053,-0.7757112907044197,8.0,91.0,11.39,11.78,2.0,8.0,87.0,11.9,12.34,2.0,6.0,75.0,13.45,14.03,1.0,8.0,70.0,13.9,14.56,2.0,8.0,77.0,12.86,13.45,58.0,8.0,77.0,12.25,12.89,58.0,8.0,72.0,12.11,12.89,2.0,-0.9816271834476641,0.19080899537654425,-1.31538042581987,0.2556840538045693
4,2022-05-04 10:00:00,169.53357282835327,2022,10,11.78,11.39,91.0,18,2.0,46.915218079114496,111.64442665876769,1.0082253206117968,8.0,0.9823657055767278,8.0,90.66666666666667,11.596666666666666,0.3984010898462414,-0.917211301505453,8.0,87.0,11.9,12.34,2.0,6.0,75.0,13.45,14.03,1.0,8.0,70.0,13.9,14.56,2.0,8.0,77.0,12.86,13.45,58.0,8.0,77.0,12.25,12.89,58.0,8.0,72.0,12.11,12.89,2.0,8.0,67.0,12.6,13.45,2.0,-0.9993908270190958,0.03489949670250128,-0.8894578360469952,0.031060552065226142
5,2022-05-04 11:00:00,176.95957825123446,2022,11,12.34,11.9,87.0,18,2.0,56.88302468859663,128.68014867679432,1.0082309130922273,8.0,0.9823657055767278,8.0,89.33333333333333,11.966666666666667,0.1361666490962471,-0.9906859460363306,6.0,75.0,13.45,14.03,1.0,8.0,70.0,13.9,14.56,2.0,8.0,77.0,12.86,13.45,58.0,8.0,77.0,12.25,12.89,58.0,8.0,72.0,12.11,12.89,2.0,8.0,67.0,12.6,13.45,2.0,8.0,68.0,12.63,13.45,2.0,-0.9876883405951378,0.15643446504023067,-0.8790426231296726,0.1392266738858053
6,2022-05-04 12:00:00,173.12181575943762,2022,12,14.03,13.45,75.0,18,1.0,64.12823719963595,154.3257024736953,1.0082384222494232,6.0,0.9823657055767278,7.333333333333333,84.33333333333333,12.716666666666667,-0.1361666490962464,-0.9906859460363308,8.0,70.0,13.9,14.56,2.0,8.0,77.0,12.86,13.45,58.0,8.0,77.0,12.25,12.89,58.0,8.0,72.0,12.11,12.89,2.0,8.0,67.0,12.6,13.45,2.0,8.0,68.0,12.63,13.45,2.0,7.0,73.0,11.54,12.34,1.0,-0.9396926207859085,0.34202014332566816,-3.8715335976379435,1.4091229905017528
7,2022-05-04 13:00:00,144.53088128728632,2022,13,14.56,13.9,70.0,18,2.0,65.88919536430234,188.62384873784535,1.0082480287308282,8.0,0.9823657055767278,7.333333333333333,77.33333333333333,13.643333333333333,-0.39840108984624156,-0.9172113015054529,8.0,77.0,12.86,13.45,58.0,8.0,77.0,12.25,12.89,58.0,8.0,72.0,12.11,12.89,2.0,8.0,67.0,12.6,13.45,2.0,8.0,68.0,12.63,13.45,2.0,7.0,73.0,11.54,12.34,1.0,6.0,71.0,10.26,11.23,1.0,-0.9961946980917455,0.08715574274765789,-1.334900895442939,0.11678869528186157
8,2022-05-04 14:00:00,133.43217526682727,2022,14,13.45,12.86,77.0,18,58.0,61.1205589733877,219.52327159095995,1.0082597698053477,8.0,0.9823657055767278,7.333333333333333,74.0,14.013333333333334,-0.6310879443260528,-0.7757112907044198,8.0,77.0,12.25,12.89,58.0,8.0,72.0,12.11,12.89,2.0,8.0,67.0,12.6,13.45,2.0,8.0,68.0,12.63,13.45,2.0,7.0,73.0,11.54,12.34,1.0,6.0,71.0,10.26,11.23,1.0,6.0,71.0,9.65,10.67,1.0,-0.9902680687415704,-0.13917310096006494,-0.4456206309337067,-0.06262789543202922
9,2022-05-04 15:00:00,124.86152080093686,2022,15,12.89,12.25,77.0,18,58.0,52.27573629577226,240.48964603430545,1.0082735368404698,8.0,0.9823657055767278,8.0,74.66666666666667,13.633333333333333,-0.816969893010442,-0.5766803221148672,8.0,72.0,12.11,12.89,2.0,8.0,67.0,12.6,13.45,2.0,8.0,68.0,12.63,13.45,2.0,7.0,73.0,11.54,12.34,1.0,6.0,71.0,10.26,11.23,1.0,6.0,71.0,9.65,10.67,1.0,4.0,71.0,9.03,10.11,1.0,-0.9986295347545738,-0.052335956242944306,-1.338163576571129,-0.07013018136554537
