il;lat;lon;pot
Adana;37.000;35.321;1.055
Adıyaman;37.765;38.279;1.11
Afyonkarahisar;38.751;30.557;1.11
Ağrı;39.627;43.022;1.11
Aksaray;38.369;34.037;1.11
Amasya;40.650;35.835;0.9
Ankara;39.921;32.854;1
Antalya;36.884;30.706;1.275
Ardahan;41.110;42.702;1
Artvin;41.183;41.818;0.9
Aydın;37.856;27.842;1.055
Balıkesir;39.648;27.883;0.95
Bartın;41.581;32.461;0.9
Batman;37.881;41.135;1.11
Bayburt;40.255;40.225;1.055
Bilecik;40.057;30.067;0.95
Bingöl;39.063;40.770;1.11
Bitlis;38.394;42.123;1.165
Bolu;40.576;31.579;0.95
Burdur;37.461;30.067;1.116
Bursa;40.267;29.063;0.9
Çanakkale;40.155;26.414;0.9
Çankırı;40.601;33.613;0.95
Çorum;40.551;34.956;0.95
Denizli;37.777;29.086;1.11
Diyarbakır;37.914;40.231;1.11
Düzce;40.844;31.157;0.9
Edirne;41.682;26.562;0.9
Elazığ;38.681;39.226;1.11
Erzincan;39.750;39.500;1.055
Erzurum;39.900;41.270;1.11
Eskişehir;39.777;30.521;1
Gaziantep;37.066;37.383;1.11
Giresun;40.913;38.390;0.95
Gümüşhane;40.439;39.509;1.055
Hakkari;37.583;43.733;1.275
Hatay;36.402;36.350;1.055
Iğdır;39.888;44.005;1
Isparta;37.765;30.557;1.165
İstanbul;41.005;28.9771;0.9
İzmir;38.419;27.129;1.055
Kahramanmaraş;37.586;36.937;1.165
Karabük;41.206;32.620;0.9
Karaman;37.176;33.229;1.275
Kars;40.617;43.100;1.055
Kastamonu;41.389;33.783;0.9
Kayseri;38.731;35.479;1.165
Kırıkkale;39.847;33.515;1
Kırklareli;41.733;27.217;0.9
Kırşehir;39.142;34.171;1.055
Kilis;36.718;37.121;1.11
Kocaeli;40.853;29.882;0.9
Konya;37.867;32.483;1.165
Kütahya;39.417;29.983;1
Malatya;38.355;38.309;1.165
Manisa;38.619;27.429;1
Mardin;37.321;40.724;1.11
Mersin;36.800;34.633;1.275
Muğla;37.215;28.364;1.165
Muş;38.946;41.754;1.11
Nevşehir;38.694;34.686;1.11
Niğde;37.967;34.683;1.165
Ordu;40.984;37.876;0.9
Osmaniye;37.213;36.176;1.055
Rize;41.020;40.523;0.9
Sakarya;40.694;30.436;0.9
Samsun;41.293;36.331;0.9
Siirt;37.933;41.950;1.11
Sinop;42.023;35.153;0.9
Sivas;39.748;37.018;1.055
Şanlıurfa;37.159;38.797;1.11
Şırnak;37.419;42.492;1.22
Tekirdağ;40.983;27.517;0.9
Tokat;40.317;36.550;0.95
Trabzon;41.001;39.718;0.9
Tunceli;39.307;39.439;1.11
Uşak;38.682;29.408;1.055
Van;38.489;43.409;1.275
Yalova;40.650;29.267;0.9
Yozgat;39.818;34.815;1
Zonguldak;41.456;31.799;0.9
